ID,郵便番号,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ
132,101-8305,東京都,トウキョウト,千代田区,チヨダク,神田駿河台,カンダスルガダイ
133,104-8581,東京都,トウキョウト,中央区,チュウオウク,勝どき,カチドキ
134,103-8255,東京都,トウキョウト,中央区,チュウオウク,日本橋,ニホンバシ
135,105-8301,東京都,トウキョウト,港区,ミナトク,東新橋,ヒガシシンバシ
136,107-8505,東京都,トウキョウト,港区,ミナトク,赤坂,アカサカ
137,162-0834,東京都,トウキョウト,新宿区,シンジュクク,北町,キタマチ
138,169-8677,東京都,トウキョウト,新宿区,シンジュクク,高田馬場,タカダノババ
139,112-8506,東京都,トウキョウト,文京区,ブンキョウク,小石川,コイシカワ
140,112-8683,東京都,トウキョウト,文京区,ブンキョウク,目白台,メジロダイ
141,110-8681,東京都,トウキョウト,台東区,タイトウク,入谷,イリヤ
142,111-0021,東京都,トウキョウト,台東区,タイトウク,日本堤,ニホンヅツミ
143,130-8608,東京都,トウキョウト,墨田区,スミダク,業平,ナリヒラ
144,130-8554,東京都,トウキョウト,墨田区,スミダク,両国,リョウゴク
145,135-8481,東京都,トウキョウト,江東区,コウトウク,永代,エイタイ
146,136-8523,東京都,トウキョウト,江東区,コウトウク,亀戸,カメイド
147,141-8411,東京都,トウキョウト,品川区,シナガワク,西五反田,ニシゴタンダ
148,153-8567,東京都,トウキョウト,目黒区,メグロク,東山,ヒガシヤマ
149,146-0095,東京都,トウキョウト,大田区,オオタク,多摩川,タマガワ
150,154-0017,東京都,トウキョウト,世田谷区,セタガヤク,世田谷,セタガヤ
151,229-1101,神奈川県,カナガワケン,相模原市,サガミハラシ,相原,アイハラ
152,238-0104,神奈川県,カナガワケン,三浦市,ミウラシ,南下浦町松輪,ミナミシタウラマチマツワ
153,243-0217,神奈川県,カナガワケン,厚木市,アツギシ,三田南,サンダミナミ
154,242-0021,神奈川県,カナガワケン,大和市,ヤマトシ,中央,チュウオウ
155,243-0486,神奈川県,カナガワケン,海老名市,エビナシ,中央,チュウオウ
156,252-1137,神奈川県,カナガワケン,綾瀬市,アヤセシ,寺尾台,テラオダイ
157,259-0155,神奈川県,カナガワケン,足柄上郡中井町,アシガラカミグンナカイマチ,松本,マツモト
158,259-0314,神奈川県,カナガワケン,足柄下郡湯河原町,アシガラシモグンユガワラマチ,宮上,ミヤカミ
159,243-0302,神奈川県,カナガワケン,愛甲郡愛川町,アイコウグンアイカワマチ,春日台,カスガダイ
160,252-0024,神奈川県,カナガワケン,座間市,ザマシ,入谷,イリヤ
161,950-0054,新潟県,ニイガタケン,新潟市東区,ニイガタシヒガシク,秋葉,アキバ
162,950-0822,新潟県,ニイガタケン,新潟市東区,ニイガタシヒガシク,新岡山,シンオカヤマ
163,951-8655,新潟県,ニイガタケン,新潟市中央区,ニイガタシチュウオウク,川岸町,カワギシチョウ
164,950-8601,新潟県,ニイガタケン,新潟市中央区,ニイガタシチュウオウク,女池神明,メイケシンメイ
