ID,郵便番号,都道府県,都道府県カナ,市区町村,市区町村カナ,町域,町域カナ
132,875-0022,大分県,オオイタケン,臼杵市,ウスキシ,末広,スエヒロ
133,879-2454,大分県,オオイタケン,津久見市,ツクミシ,地蔵町,ジゾウマチ
134,878-0203,大分県,オオイタケン,竹田市,タケタシ,久住町仏原,クジュウマチブツバル
135,880-2116,宮崎県,ミヤザキケン,宮崎市,ミヤザキシ,細江,ホソエ
136,885-0071,宮崎県,ミヤザキケン,都城市,ミヤコノジョウシ,中町,ナカマチ
137,882-0027,宮崎県,ミヤザキケン,延岡市,ノベオカシ,大門町,オオカドマチ
138,891-0405,鹿児島県,カゴシマケン,指宿市,イブスキシ,湊,ミナト
139,891-3195,鹿児島県,カゴシマケン,西之表市,ニシノオモテシ,西之表,ニシノオモテ
140,891-2127,鹿児島県,カゴシマケン,垂水市,タルミズシ,下宮町,シモミヤチョウ
141,902-0063,沖縄県,オキナワケン,那覇市,ナハシ,三原,ミハラ
142,901-2214,沖縄県,オキナワケン,宜野湾市,ギノワンシ,我如古,ガネコ
143,907-0242,沖縄県,オキナワケン,石垣市,イシガキシ,白保,シラホ
